"SYMBOL","GENENAME","ENSEMBL","log2FoldChange","padj","significant","Comparison"
"SOX8","SRY-box transcription factor 8","ENSG00000005513",5.17790671402093,0,"Significant","Basal_vs_LumA"
"FOXC1","forkhead box C1","ENSG00000054598",4.00951275539368,0,"Significant","Basal_vs_LumA"
"CA12","carbonic anhydrase 12","ENSG00000074410",-4.60433232323456,0,"Significant","Basal_vs_LumA"
"PGR","progesterone receptor","ENSG00000082175",-6.62172477537054,0,"Significant","Basal_vs_LumA"
"ESR1","estrogen receptor 1","ENSG00000091831",-5.701178760933,0,"Significant","Basal_vs_LumA"
"SLC7A8","solute carrier family 7 member 8","ENSG00000092068",-3.02338239302465,0,"Significant","Basal_vs_LumA"
"XBP1","X-box binding protein 1","ENSG00000100219",-3.0786959855066,0,"Significant","Basal_vs_LumA"
"PRSS33","serine protease 33","ENSG00000103355",8.78773800740054,0,"Significant","Basal_vs_LumA"
"AGR2","anterior gradient 2, protein disulphide isomerase family member","ENSG00000106541",-5.36148522304874,0,"Significant","Basal_vs_LumA"
"GATA3","GATA binding protein 3","ENSG00000107485",-3.64909083828066,0,"Significant","Basal_vs_LumA"
"TBC1D9","TBC1 domain family member 9","ENSG00000109436",-3.80041683014738,0,"Significant","Basal_vs_LumA"
"ROPN1B","rhophilin associated tail protein 1B","ENSG00000114547",5.60661211277439,0,"Significant","Basal_vs_LumA"
"MLPH","melanophilin","ENSG00000115648",-4.59546669956986,0,"Significant","Basal_vs_LumA"
"CCDC170","coiled-coil domain containing 170","ENSG00000120262",-4.12554024575143,0,"Significant","Basal_vs_LumA"
"FOXA1","forkhead box A1","ENSG00000129514",-4.56677694542897,0,"Significant","Basal_vs_LumA"
"NCAN","neurocan","ENSG00000130287",8.27719713858238,0,"Significant","Basal_vs_LumA"
"C5AR2","complement C5a receptor 2","ENSG00000134830",-3.61962690629551,0,"Significant","Basal_vs_LumA"
"TTLL4","tubulin tyrosine ligase like 4","ENSG00000135912",2.03742947028276,0,"Significant","Basal_vs_LumA"
"TTC6","tetratricopeptide repeat domain 6","ENSG00000139865",-5.01887183618268,0,"Significant","Basal_vs_LumA"
"FSIP1","fibrous sheath interacting protein 1","ENSG00000150667",-5.66256074363057,0,"Significant","Basal_vs_LumA"
"FABP7","fatty acid binding protein 7","ENSG00000164434",8.69295094324271,3.13443336500531e-158,"Significant","Her2_vs_LumA"
"KRT20","keratin 20","ENSG00000171431",9.40321757559127,3.13443336500531e-158,"Significant","Her2_vs_LumA"
"NPY1R","neuropeptide Y receptor Y1","ENSG00000164128",-7.38075444478055,1.248959595562e-130,"Significant","Her2_vs_LumA"
"SOX11","SRY-box transcription factor 11","ENSG00000176887",4.73903995233314,4.57087638564631e-123,"Significant","Her2_vs_LumA"
"SERPINA6","serpin family A member 6","ENSG00000170099",-9.45612625534511,2.46939150044275e-111,"Significant","Her2_vs_LumA"
"NXNL2","nucleoredoxin like 2","ENSG00000130045",-3.97552742532589,8.73622065564542e-110,"Significant","Her2_vs_LumA"
"GRB7","growth factor receptor bound protein 7","ENSG00000141738",3.31476129225297,1.95626911131949e-105,"Significant","Her2_vs_LumA"
"MPHOSPH6","M-phase phosphoprotein 6","ENSG00000135698",2.06365054900278,8.82982616067902e-103,"Significant","Her2_vs_LumA"
"PSMD3","proteasome 26S subunit, non-ATPase 3","ENSG00000108344",2.57817183820017,1.2303802278682e-102,"Significant","Her2_vs_LumA"
"LINC01016","long intergenic non-protein coding RNA 1016","ENSG00000249346",-5.91413842720943,2.42234616553678e-102,"Significant","Her2_vs_LumA"
"C5AR2","complement C5a receptor 2","ENSG00000134830",-2.5408556392841,2.54150198859803e-100,"Significant","Her2_vs_LumA"
"HPD","4-hydroxyphenylpyruvate dioxygenase","ENSG00000158104",3.5068643620737,6.59313948412072e-100,"Significant","Her2_vs_LumA"
"CST9","cystatin 9","ENSG00000173335",-8.46199410924598,2.45281106630677e-98,"Significant","Her2_vs_LumA"
"ESR1","estrogen receptor 1","ENSG00000091831",-3.50393809299875,5.48234343373377e-98,"Significant","Her2_vs_LumA"
"PGR","progesterone receptor","ENSG00000082175",-4.66808160648802,8.07621590458688e-97,"Significant","Her2_vs_LumA"
"ABCC2","ATP binding cassette subfamily C member 2","ENSG00000023839",3.91526124791768,5.31088165483105e-95,"Significant","Her2_vs_LumA"
"ORMDL3","ORMDL sphingolipid biosynthesis regulator 3","ENSG00000172057",2.54816971329879,7.06048005179357e-95,"Significant","Her2_vs_LumA"
"ERBB2","erb-b2 receptor tyrosine kinase 2","ENSG00000141736",3.23590957434051,1.50146046625509e-93,"Significant","Her2_vs_LumA"
"G6PD","glucose-6-phosphate dehydrogenase","ENSG00000160211",1.90739049204313,6.60631823901102e-93,"Significant","Her2_vs_LumA"
"STARD3","StAR related lipid transfer domain containing 3","ENSG00000131748",2.6293331213594,7.24297452340845e-93,"Significant","Her2_vs_LumA"
"SGO1","shugoshin 1","ENSG00000129810",1.5205202875492,4.27042085357455e-97,"Significant","LumB_vs_LumA"
"FAM83D","family with sequence similarity 83 member D","ENSG00000101447",1.69165255210223,9.92687359032408e-95,"Significant","LumB_vs_LumA"
"BIRC5","baculoviral IAP repeat containing 5","ENSG00000089685",1.69597043160764,2.58341375489778e-94,"Significant","LumB_vs_LumA"
"AURKA","aurora kinase A","ENSG00000087586",1.5025350767277,4.20090063813681e-94,"Significant","LumB_vs_LumA"
"GRIK1","glutamate ionotropic receptor kainate type subunit 1","ENSG00000171189",-3.07284204307706,2.66856968391322e-85,"Significant","LumB_vs_LumA"
"MCM10","minichromosome maintenance 10 replication initiation factor","ENSG00000065328",1.57889366896518,3.81739561034143e-84,"Significant","LumB_vs_LumA"
"MYBL2","MYB proto-oncogene like 2","ENSG00000101057",1.86881243323623,5.50768037430624e-83,"Significant","LumB_vs_LumA"
"SOX10","SRY-box transcription factor 10","ENSG00000100146",-3.32620814645059,3.17604438209199e-80,"Significant","LumB_vs_LumA"
"ECRG4","ECRG4 augurin precursor","ENSG00000119147",-3.10807048548598,4.372642921646e-79,"Significant","LumB_vs_LumA"
"PRR11","proline rich 11","ENSG00000068489",1.52032289377343,1.51670230273021e-78,"Significant","LumB_vs_LumA"
"FAM72A","family with sequence similarity 72 member A","ENSG00000196550",1.51079766679023,1.8133358036195e-78,"Significant","LumB_vs_LumA"
"E2F8","E2F transcription factor 8","ENSG00000129173",1.66883897114339,6.95847580682125e-78,"Significant","LumB_vs_LumA"
"OSR1","odd-skipped related transcription factor 1","ENSG00000143867",-2.48950165565773,1.25199404518771e-76,"Significant","LumB_vs_LumA"
"UBE2C","ubiquitin conjugating enzyme E2 C","ENSG00000175063",1.58097548791047,1.99439562839494e-76,"Significant","LumB_vs_LumA"
"CCNE2","cyclin E2","ENSG00000175305",1.51998811093168,5.41454082644536e-76,"Significant","LumB_vs_LumA"
"KRT14","keratin 14","ENSG00000186847",-3.30022540592311,8.1011944990699e-73,"Significant","LumB_vs_LumA"
"KRT17","keratin 17","ENSG00000128422",-2.80074435518742,3.98434906210729e-70,"Significant","LumB_vs_LumA"
"TEX19","testis expressed 19","ENSG00000182459",3.11187765404121,2.66675740967902e-66,"Significant","LumB_vs_LumA"
"FAT2","FAT atypical cadherin 2","ENSG00000086570",-2.36602592596529,8.07278528720531e-65,"Significant","LumB_vs_LumA"
"IRX1","iroquois homeobox 1","ENSG00000170549",-2.4082471489487,3.70720437072396e-63,"Significant","LumB_vs_LumA"
