"SYMBOL","GENENAME","ENSEMBL","log2FoldChange","padj","significant"
"SOX8","SRY-box transcription factor 8","ENSG00000005513",5.17790671402093,0,"Significant"
"FOXC1","forkhead box C1","ENSG00000054598",4.00951275539368,0,"Significant"
"CA12","carbonic anhydrase 12","ENSG00000074410",-4.60433232323456,0,"Significant"
"PGR","progesterone receptor","ENSG00000082175",-6.62172477537054,0,"Significant"
"ESR1","estrogen receptor 1","ENSG00000091831",-5.701178760933,0,"Significant"
"SLC7A8","solute carrier family 7 member 8","ENSG00000092068",-3.02338239302465,0,"Significant"
"XBP1","X-box binding protein 1","ENSG00000100219",-3.0786959855066,0,"Significant"
"PRSS33","serine protease 33","ENSG00000103355",8.78773800740054,0,"Significant"
"AGR2","anterior gradient 2, protein disulphide isomerase family member","ENSG00000106541",-5.36148522304874,0,"Significant"
"GATA3","GATA binding protein 3","ENSG00000107485",-3.64909083828066,0,"Significant"
"TBC1D9","TBC1 domain family member 9","ENSG00000109436",-3.80041683014738,0,"Significant"
"ROPN1B","rhophilin associated tail protein 1B","ENSG00000114547",5.60661211277439,0,"Significant"
"MLPH","melanophilin","ENSG00000115648",-4.59546669956986,0,"Significant"
"CCDC170","coiled-coil domain containing 170","ENSG00000120262",-4.12554024575143,0,"Significant"
"FOXA1","forkhead box A1","ENSG00000129514",-4.56677694542897,0,"Significant"
"NCAN","neurocan","ENSG00000130287",8.27719713858238,0,"Significant"
"C5AR2","complement C5a receptor 2","ENSG00000134830",-3.61962690629551,0,"Significant"
"TTLL4","tubulin tyrosine ligase like 4","ENSG00000135912",2.03742947028276,0,"Significant"
"TTC6","tetratricopeptide repeat domain 6","ENSG00000139865",-5.01887183618268,0,"Significant"
"FSIP1","fibrous sheath interacting protein 1","ENSG00000150667",-5.66256074363057,0,"Significant"
"SRSF12","serine and arginine rich splicing factor 12","ENSG00000154548",3.6322307963371,0,"Significant"
"ART3","ADP-ribosyltransferase 3 (inactive)","ENSG00000156219",7.34373943249598,0,"Significant"
"TFF3","trefoil factor 3","ENSG00000160180",-6.31817463909586,0,"Significant"
"TFF1","trefoil factor 1","ENSG00000160182",-8.60664027802584,0,"Significant"
"EN1","engrailed homeobox 1","ENSG00000163064",5.0972093952932,0,"Significant"
"DNALI1","dynein axonemal light intermediate chain 1","ENSG00000163879",-4.04992927998365,0,"Significant"
"SCRG1","stimulator of chondrogenesis 1","ENSG00000164106",5.49116310412422,0,"Significant"
"A2ML1","alpha-2-macroglobulin like 1","ENSG00000166535",6.54595368247069,0,"Significant"
