"SYMBOL","GENENAME","ENSEMBL","log2FoldChange","padj","significant"
"FABP7","fatty acid binding protein 7","ENSG00000164434",8.69295094324271,3.13443336500531e-158,"Significant"
"KRT20","keratin 20","ENSG00000171431",9.40321757559127,3.13443336500531e-158,"Significant"
"NPY1R","neuropeptide Y receptor Y1","ENSG00000164128",-7.38075444478055,1.248959595562e-130,"Significant"
"SOX11","SRY-box transcription factor 11","ENSG00000176887",4.73903995233314,4.57087638564631e-123,"Significant"
"SERPINA6","serpin family A member 6","ENSG00000170099",-9.45612625534511,2.46939150044275e-111,"Significant"
"NXNL2","nucleoredoxin like 2","ENSG00000130045",-3.97552742532589,8.73622065564542e-110,"Significant"
"GRB7","growth factor receptor bound protein 7","ENSG00000141738",3.31476129225297,1.95626911131949e-105,"Significant"
"MPHOSPH6","M-phase phosphoprotein 6","ENSG00000135698",2.06365054900278,8.82982616067902e-103,"Significant"
"PSMD3","proteasome 26S subunit, non-ATPase 3","ENSG00000108344",2.57817183820017,1.2303802278682e-102,"Significant"
"LINC01016","long intergenic non-protein coding RNA 1016","ENSG00000249346",-5.91413842720943,2.42234616553678e-102,"Significant"
"C5AR2","complement C5a receptor 2","ENSG00000134830",-2.5408556392841,2.54150198859803e-100,"Significant"
"HPD","4-hydroxyphenylpyruvate dioxygenase","ENSG00000158104",3.5068643620737,6.59313948412072e-100,"Significant"
"CST9","cystatin 9","ENSG00000173335",-8.46199410924598,2.45281106630677e-98,"Significant"
"ESR1","estrogen receptor 1","ENSG00000091831",-3.50393809299875,5.48234343373377e-98,"Significant"
"PGR","progesterone receptor","ENSG00000082175",-4.66808160648802,8.07621590458688e-97,"Significant"
"ABCC2","ATP binding cassette subfamily C member 2","ENSG00000023839",3.91526124791768,5.31088165483105e-95,"Significant"
"ORMDL3","ORMDL sphingolipid biosynthesis regulator 3","ENSG00000172057",2.54816971329879,7.06048005179357e-95,"Significant"
"ERBB2","erb-b2 receptor tyrosine kinase 2","ENSG00000141736",3.23590957434051,1.50146046625509e-93,"Significant"
"G6PD","glucose-6-phosphate dehydrogenase","ENSG00000160211",1.90739049204313,6.60631823901102e-93,"Significant"
"STARD3","StAR related lipid transfer domain containing 3","ENSG00000131748",2.6293331213594,7.24297452340845e-93,"Significant"
"RGS22","regulator of G protein signaling 22","ENSG00000132554",-4.2288960963749,6.30806337891519e-92,"Significant"
