"SYMBOL","GENENAME","ENSEMBL","log2FoldChange","padj","significant"
"SGO1","shugoshin 1","ENSG00000129810",1.5205202875492,4.27042085357455e-97,"Significant"
"FAM83D","family with sequence similarity 83 member D","ENSG00000101447",1.69165255210223,9.92687359032408e-95,"Significant"
"BIRC5","baculoviral IAP repeat containing 5","ENSG00000089685",1.69597043160764,2.58341375489778e-94,"Significant"
"AURKA","aurora kinase A","ENSG00000087586",1.5025350767277,4.20090063813681e-94,"Significant"
"GRIK1","glutamate ionotropic receptor kainate type subunit 1","ENSG00000171189",-3.07284204307706,2.66856968391322e-85,"Significant"
"MCM10","minichromosome maintenance 10 replication initiation factor","ENSG00000065328",1.57889366896518,3.81739561034143e-84,"Significant"
"MYBL2","MYB proto-oncogene like 2","ENSG00000101057",1.86881243323623,5.50768037430624e-83,"Significant"
"SOX10","SRY-box transcription factor 10","ENSG00000100146",-3.32620814645059,3.17604438209199e-80,"Significant"
"ECRG4","ECRG4 augurin precursor","ENSG00000119147",-3.10807048548598,4.372642921646e-79,"Significant"
"PRR11","proline rich 11","ENSG00000068489",1.52032289377343,1.51670230273021e-78,"Significant"
"FAM72A","family with sequence similarity 72 member A","ENSG00000196550",1.51079766679023,1.8133358036195e-78,"Significant"
"E2F8","E2F transcription factor 8","ENSG00000129173",1.66883897114339,6.95847580682125e-78,"Significant"
"OSR1","odd-skipped related transcription factor 1","ENSG00000143867",-2.48950165565773,1.25199404518771e-76,"Significant"
"UBE2C","ubiquitin conjugating enzyme E2 C","ENSG00000175063",1.58097548791047,1.99439562839494e-76,"Significant"
"CCNE2","cyclin E2","ENSG00000175305",1.51998811093168,5.41454082644536e-76,"Significant"
"KRT14","keratin 14","ENSG00000186847",-3.30022540592311,8.1011944990699e-73,"Significant"
"KRT17","keratin 17","ENSG00000128422",-2.80074435518742,3.98434906210729e-70,"Significant"
"TEX19","testis expressed 19","ENSG00000182459",3.11187765404121,2.66675740967902e-66,"Significant"
"FAT2","FAT atypical cadherin 2","ENSG00000086570",-2.36602592596529,8.07278528720531e-65,"Significant"
"IRX1","iroquois homeobox 1","ENSG00000170549",-2.4082471489487,3.70720437072396e-63,"Significant"
"ADGRD2","adhesion G protein-coupled receptor D2","ENSG00000180264",-4.12614728499541,1.74181789920316e-62,"Significant"
"MYH11","myosin heavy chain 11","ENSG00000133392",-1.96939705837168,2.82544792497853e-62,"Significant"
"COL17A1","collagen type XVII alpha 1 chain","ENSG00000065618",-2.65475602286841,3.07433098621715e-62,"Significant"
"STAC2","SH3 and cysteine rich domain 2","ENSG00000141750",-3.27361676914616,1.7754773627411e-61,"Significant"
"CLDN19","claudin 19","ENSG00000164007",-3.00955658515966,4.22612864952415e-61,"Significant"
"KCNJ16","potassium inwardly rectifying channel subfamily J member 16","ENSG00000153822",-3.23991926431167,1.32416861127917e-60,"Significant"
"TCEAL5","transcription elongation factor A like 5","ENSG00000204065",-2.58424825428412,5.22699204495905e-59,"Significant"
"UCP1","uncoupling protein 1","ENSG00000109424",-3.70189144202953,2.04325717369725e-58,"Significant"
"ANGPTL7","angiopoietin like 7","ENSG00000171819",-3.40171667362865,3.52847572732854e-58,"Significant"
"KRT5","keratin 5","ENSG00000186081",-2.75841217555002,1.60223488210953e-57,"Significant"
"ATOH8","atonal bHLH transcription factor 8","ENSG00000168874",-1.78658705583583,5.79919561325643e-56,"Significant"
"CDC6","cell division cycle 6","ENSG00000094804",1.50866211127349,1.15580705654826e-54,"Significant"
"NGFR","nerve growth factor receptor","ENSG00000064300",-1.92983414496387,1.58955453018401e-53,"Significant"
"ADAMTS9-AS2","ADAMTS9 antisense RNA 2","ENSG00000241684",-1.67644946520269,2.10236858064089e-53,"Significant"
"MAPK4","mitogen-activated protein kinase 4","ENSG00000141639",-3.22719868225169,7.18263713728396e-52,"Significant"
"NPY2R","neuropeptide Y receptor Y2","ENSG00000185149",-4.89641096187659,8.35228032335372e-52,"Significant"
"CDH22","cadherin 22","ENSG00000149654",-2.62405341950036,1.70935177418594e-51,"Significant"
