"SYMBOL","GENENAME","ENSEMBL","log2FoldChange","padj","significant"
"OLAH","oleoyl-ACP hydrolase","ENSG00000152463",7.64863966886193,1.63509168208576e-135,"Significant"
"LINC02487","long intergenic non-protein coding RNA 2487","ENSG00000203688",4.94204854475996,2.10585387349921e-78,"Significant"
"ACSBG1","acyl-CoA synthetase bubblegum family member 1","ENSG00000103740",3.56325118541274,3.68886168756194e-63,"Significant"
"ACE2","angiotensin converting enzyme 2","ENSG00000130234",5.27573304384603,2.31655232628469e-53,"Significant"
"FABP7","fatty acid binding protein 7","ENSG00000164434",6.5176287146076,3.53435966194989e-45,"Significant"
"LINC01235","long intergenic non-protein coding RNA 1235","ENSG00000270547",3.39932537955044,7.86765630668019e-44,"Significant"
"CA6","carbonic anhydrase 6","ENSG00000131686",6.28271275082871,3.50444350907484e-43,"Significant"
"FZD9","frizzled class receptor 9","ENSG00000188763",3.52809607879451,8.22496944728835e-42,"Significant"
"LINC01554","long intergenic non-protein coding RNA 1554","ENSG00000236882",3.97249061354629,1.1203128156235e-41,"Significant"
"CAPN11","calpain 11","ENSG00000137225",2.51910742522021,5.10931585503641e-39,"Significant"
"MOG","myelin oligodendrocyte glycoprotein","ENSG00000204655",6.02176944625474,1.98592020381427e-37,"Significant"
"AKR1B15","aldo-keto reductase family 1 member B15","ENSG00000227471",4.64988777069196,6.66320502272194e-37,"Significant"
"XDH","xanthine dehydrogenase","ENSG00000158125",3.79465965630225,4.15742562800366e-36,"Significant"
"LALBA","lactalbumin alpha","ENSG00000167531",10.9325588303872,2.87945766002348e-35,"Significant"
"FREM3","FRAS1 related extracellular matrix 3","ENSG00000183090",4.08066099655929,3.67414199222464e-34,"Significant"
"SULT1B1","sulfotransferase family 1B member 1","ENSG00000173597",3.14171962840442,6.88023490149203e-34,"Significant"
"CD180","CD180 molecule","ENSG00000134061",2.16404467055961,1.28425252776909e-33,"Significant"
"DLK2","delta like non-canonical Notch ligand 2","ENSG00000171462",1.84711957911236,4.55450879209242e-33,"Significant"
"LOXL4","lysyl oxidase like 4","ENSG00000138131",2.67938346866654,4.94610198833799e-33,"Significant"
"TTYH1","tweety family member 1","ENSG00000167614",2.9901379807827,4.94610198833799e-33,"Significant"
"KRT1","keratin 1","ENSG00000167768",4.61962561275266,3.3770565640548e-32,"Significant"
"ROPN1B","rhophilin associated tail protein 1B","ENSG00000114547",3.33228950847878,1.31529188235972e-31,"Significant"
"CPB1","carboxypeptidase B1","ENSG00000153002",-6.71783404152954,6.21524379885839e-31,"Significant"
"C6orf15","chromosome 6 open reading frame 15","ENSG00000204542",4.40205292613952,1.33771756065116e-30,"Significant"
"PHYHIP","phytanoyl-CoA 2-hydroxylase interacting protein","ENSG00000168490",2.50235023587706,2.62974666017163e-30,"Significant"
"SOX8","SRY-box transcription factor 8","ENSG00000005513",3.03984355520079,2.63482179439834e-30,"Significant"
"EPHB6","EPH receptor B6","ENSG00000106123",2.56760976199908,9.82345022387342e-30,"Significant"
"CYP39A1","cytochrome P450 family 39 subfamily A member 1","ENSG00000146233",2.86879096727548,1.2389804056902e-29,"Significant"
"OXER1","oxoeicosanoid receptor 1","ENSG00000162881",2.37025457161371,4.86867891310346e-29,"Significant"
"CX3CL1","C-X3-C motif chemokine ligand 1","ENSG00000006210",2.29143415088071,5.03109361865389e-29,"Significant"
"A2ML1","alpha-2-macroglobulin like 1","ENSG00000166535",3.79247404621537,5.05728620622e-29,"Significant"
"TRPM8","transient receptor potential cation channel subfamily M member 8","ENSG00000144481",4.26596613459931,7.26098893181346e-29,"Significant"
"CHGB","chromogranin B","ENSG00000089199",-6.64773232394603,7.88844277438351e-29,"Significant"
"FOXC1","forkhead box C1","ENSG00000054598",1.85193710746341,9.39281260101605e-29,"Significant"
"ALDH1A3","aldehyde dehydrogenase 1 family member A3","ENSG00000184254",2.35550286167458,1.20835270432987e-28,"Significant"
"GPM6B","glycoprotein M6B","ENSG00000046653",1.87888331692083,1.33378145443715e-28,"Significant"
"CD14","CD14 molecule","ENSG00000170458",1.89969051948589,2.28175493601282e-28,"Significant"
"C10orf90","chromosome 10 open reading frame 90","ENSG00000154493",3.39386932452477,3.32279973252554e-28,"Significant"
