"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061180","mammary gland epithelium development","5/62","74/18860",0.0675675675675676,20.5536181342633,9.6788817229623,4.40779419910574e-06,0.00214650244578432,0.00178109432356065,"PGR/ESR1/GATA3/ERBB4/AR",5
"GO:1902893","regulation of miRNA transcription","5/62","75/18860",0.0666666666666667,20.2795698924731,9.60775069606992,4.71076259170807e-06,0.00214650244578432,0.00178109432356065,"ESR1/GATA3/FOXA1/AR/POU5F1",5
"GO:0061614","miRNA transcription","5/62","76/18860",0.0657894736842105,20.0127334465195,9.53798572861379,5.02982852628219e-06,0.00214650244578432,0.00178109432356065,"ESR1/GATA3/FOXA1/AR/POU5F1",5
"GO:0110110","positive regulation of animal organ morphogenesis","4/62","35/18860",0.114285714285714,34.7649769585253,11.4823912210625,5.1351733152735e-06,0.00214650244578432,0.00178109432356065,"SOX8/GATA3/AR/POU5F1",4
"GO:0030879","mammary gland development","6/62","142/18860",0.0422535211267606,12.8532485233985,8.14237674767008,7.12137038273664e-06,0.00238138625598713,0.00197599287672566,"PGR/ESR1/XBP1/GATA3/ERBB4/AR",6
"GO:2000628","regulation of miRNA metabolic process","5/62","89/18860",0.0561797752808989,17.0895251902863,8.73763459885912,1.09368167881843e-05,0.00286641701654048,0.0023784548147824,"ESR1/GATA3/FOXA1/AR/POU5F1",5
"GO:0033148","positive regulation of intracellular estrogen receptor signaling pathway","3/62","14/18860",0.214285714285714,65.184331797235,13.7969408081624,1.20005497103968e-05,0.00286641701654048,0.0023784548147824,"FOXA1/SRARP/AR",3
"GO:0033145","positive regulation of intracellular steroid hormone receptor signaling pathway","3/62","17/18860",0.176470588235294,53.6812144212524,12.4797121099229,2.22613731332885e-05,0.0046526269848573,0.00386059076179924,"FOXA1/SRARP/AR",3
"GO:0010586","miRNA metabolic process","5/62","108/18860",0.0462962962962963,14.0830346475508,7.83061594668931,2.8000134232524e-05,0.0052018027151978,0.00431627800215985,"ESR1/GATA3/FOXA1/AR/POU5F1",5
"GO:0060749","mammary gland alveolus development","3/62","20/18860",0.15,45.6290322580645,11.4680973421863,3.70588751284194e-05,0.00563294901951975,0.0046740284611729,"ESR1/ERBB4/AR",3
"GO:0061377","mammary gland lobule development","3/62","20/18860",0.15,45.6290322580645,11.4680973421863,3.70588751284194e-05,0.00563294901951975,0.0046740284611729,"ESR1/ERBB4/AR",3
"GO:0030520","estrogen receptor signaling pathway","4/62","59/18860",0.0677966101694915,20.6232914160744,8.66975324386457,4.20797032504914e-05,0.00586310531956847,0.00486500428808313,"ESR1/FOXA1/SRARP/AR",4
"GO:0043627","response to estrogen","4/62","65/18860",0.0615384615384615,18.7196029776675,8.21842985191121,6.16818990212009e-05,0.00742495795337337,0.00616097619147954,"ESR1/GATA3/AR/F7",4
"GO:0022612","gland morphogenesis","5/62","129/18860",0.0387596899224806,11.790447611903,7.06241422374771,6.55813285442458e-05,0.00742495795337337,0.00616097619147954,"PGR/ESR1/XBP1/FOXA1/AR",5
"GO:0002070","epithelial cell maturation","3/62","25/18860",0.12,36.5032258064516,10.2012727426802,7.38966642913346e-05,0.00742495795337337,0.00616097619147954,"PGR/XBP1/FOXA1",3
"GO:0060444","branching involved in mammary gland duct morphogenesis","3/62","25/18860",0.12,36.5032258064516,10.2012727426802,7.38966642913346e-05,0.00742495795337337,0.00616097619147954,"PGR/ESR1/AR",3
"GO:1905330","regulation of morphogenesis of an epithelium","4/62","69/18860",0.0579710144927536,17.6344086021505,7.94980208201617,7.79911246791381e-05,0.00742495795337337,0.00616097619147954,"SOX8/ESR1/GATA3/AR",4
"GO:0048608","reproductive structure development","7/62","318/18860",0.0220125786163522,6.6960843984581,5.88316514552781,8.05683166308402e-05,0.00742495795337337,0.00616097619147954,"SOX8/FOXC1/PGR/ESR1/GATA3/FOXA1/AR",7
"GO:0048469","cell maturation","6/62","221/18860",0.0271493212669683,8.25864837250037,6.23361453660318,8.60272645062485e-05,0.00742495795337337,0.00616097619147954,"SOX8/PGR/XBP1/GATA3/ROPN1B/FOXA1",6
"GO:0061458","reproductive system development","7/62","323/18860",0.021671826625387,6.59242984120643,5.82212376107072,8.88152865236049e-05,0.00742495795337337,0.00616097619147954,"SOX8/FOXC1/PGR/ESR1/GATA3/FOXA1/AR",7
"GO:0002064","epithelial cell development","6/62","226/18860",0.0265486725663717,8.07593491293177,6.14588395589437,9.72912099164567e-05,0.00774623347525313,0.00642755963257594,"SOX8/PGR/ESR1/XBP1/FOXA1/AR",6
"GO:0060740","prostate gland epithelium morphogenesis","3/62","28/18860",0.107142857142857,32.5921658986175,9.60748127332488,0.000104517278450242,0.0079433131622184,0.0065910896171014,"ESR1/FOXA1/AR",3
"GO:0048732","gland development","8/62","454/18860",0.0176211453744493,5.36023873809862,5.40079681661202,0.000114718535940748,0.0081337257599565,0.00674908747898682,"FOXC1/PGR/ESR1/XBP1/GATA3/FOXA1/ERBB4/AR",8
"GO:0030518","nuclear receptor-mediated steroid hormone signaling pathway","5/62","147/18860",0.0340136054421769,10.3467193328945,6.53349424160353,0.00012161671291801,0.0081337257599565,0.00674908747898682,"PGR/ESR1/FOXA1/SRARP/AR",5
"GO:0043401","steroid hormone receptor signaling pathway","5/62","147/18860",0.0340136054421769,10.3467193328945,6.53349424160353,0.00012161671291801,0.0081337257599565,0.00674908747898682,"PGR/ESR1/FOXA1/SRARP/AR",5
"GO:0060512","prostate gland morphogenesis","3/62","30/18860",0.1,30.4193548387097,9.26121495118557,0.00012892455212795,0.00829084042915122,0.00687945585848735,"ESR1/FOXA1/AR",3
"GO:0008406","gonad development","6/62","243/18860",0.0246913580246914,7.51095181202708,5.86667622825439,0.000144655764738428,0.00895794217195004,0.00743299407115976,"SOX8/FOXC1/PGR/ESR1/GATA3/AR",6
"GO:0045137","development of primary sexual characteristics","6/62","248/18860",0.0241935483870968,7.35952133194589,5.78966051880866,0.000161598078380088,0.00964971382326813,0.00800700253026152,"SOX8/FOXC1/PGR/ESR1/GATA3/AR",6
"GO:2000027","regulation of animal organ morphogenesis","4/62","84/18860",0.0476190476190476,14.4854070660522,7.11379781257983,0.000167782030827357,0.00967350191528762,0.00802674107551567,"SOX8/GATA3/AR/POU5F1",4
"GO:0060603","mammary gland duct morphogenesis","3/62","34/18860",0.0882352941176471,26.8406072106262,8.66088951315698,0.000188249321048431,0.0104917621597659,0.00870570544357307,"PGR/ESR1/AR",3
"GO:0031128","developmental induction","3/62","35/18860",0.0857142857142857,26.073732718894,8.52677639331255,0.000205416272398415,0.011079226046779,0.0091931628869647,"SOX8/AR/POU5F1",3
"GO:0048754","branching morphogenesis of an epithelial tube","5/62","166/18860",0.0301204819277108,9.16245627671978,6.0662896809422,0.000214623543041375,0.0112140801239118,0.00930506018843856,"SOX8/PGR/ESR1/FOXA1/AR",5
"GO:0002067","glandular epithelial cell differentiation","3/62","36/18860",0.0833333333333333,25.3494623655914,8.39815763440903,0.000223566580766853,0.0113273734255205,0.00939906709571648,"PGR/XBP1/FOXA1",3
"GO:0048863","stem cell differentiation","6/62","265/18860",0.0226415094339623,6.88740109555691,5.54303757174394,0.000231283092054369,0.0113736861739678,0.00943749583057765,"SOX8/FOXC1/ESR1/FOXA1/TTYH1/ERBB4",6
"GO:0033146","regulation of intracellular estrogen receptor signaling pathway","3/62","38/18860",0.0789473684210526,24.0152801358234,8.15594956512863,0.00026291330555717,0.0122108624136552,0.0101321560445716,"FOXA1/SRARP/AR",3
"GO:1905332","positive regulation of morphogenesis of an epithelium","3/62","38/18860",0.0789473684210526,24.0152801358234,8.15594956512863,0.00026291330555717,0.0122108624136552,0.0101321560445716,"SOX8/GATA3/AR",3
"GO:0071695","anatomical structure maturation","6/62","287/18860",0.0209059233449477,6.3594470046083,5.2543530711509,0.000354479311477141,0.016018632669994,0.0132917135854018,"SOX8/PGR/XBP1/GATA3/ROPN1B/FOXA1",6
"GO:0007548","sex differentiation","6/62","297/18860",0.0202020202020202,6.14532420984034,5.13294061540423,0.000425186380965477,0.018708200762481,0.0155234252108725,"SOX8/FOXC1/PGR/ESR1/GATA3/AR",6
"GO:0048483","autonomic nervous system development","3/62","46/18860",0.0652173913043478,19.8387096774194,7.34664156604179,0.000464324812161144,0.0196642996155082,0.0163167633425081,"SOX8/GATA3/GFRA3",3
"GO:0002069","columnar/cuboidal epithelial cell maturation","2/62","10/18860",0.2,60.8387096774194,10.8699086725005,0.000470437789844695,0.0196642996155082,0.0163167633425081,"PGR/XBP1",2
"GO:0061138","morphogenesis of a branching epithelium","5/62","199/18860",0.0251256281407035,7.6430539795753,5.41036064726563,0.000494155865074819,0.0199794297495164,0.0165782475509082,"SOX8/PGR/ESR1/FOXA1/AR",5
