"gene_id","total_counts","samples_detected"
"ENSG00000000003.15",3330371,1083
"ENSG00000000005.6",68906,996
"ENSG00000000419.13",2709033,1083
"ENSG00000000457.14",1844113,1083
"ENSG00000000460.17",851273,1083
"ENSG00000000938.13",634539,1083
"ENSG00000000971.16",3409166,1083
"ENSG00000001036.14",2964036,1083
"ENSG00000001084.13",2506479,1083
"ENSG00000001167.14",3720831,1083
"ENSG00000001460.18",764749,1083
"ENSG00000001461.17",3299705,1083
"ENSG00000001497.18",3886604,1083
"ENSG00000001561.7",2146250,1083
"ENSG00000001617.12",7215243,1083
"ENSG00000001626.16",74076,1042
"ENSG00000001629.10",5451636,1083
"ENSG00000001630.17",141645,1078
"ENSG00000001631.16",423780,1083
"ENSG00000002016.18",618067,1083
"ENSG00000002079.14",16607,1063
"ENSG00000002330.14",574302,1083
"ENSG00000002549.12",8870875,1083
"ENSG00000002586.20",11731460,1083
"ENSG00000002587.10",334342,1083
"ENSG00000002726.21",272077,1071
"ENSG00000002745.13",9440,962
"ENSG00000002746.15",43004,1071
"ENSG00000002822.15",24096,1083
"ENSG00000002834.18",23823897,1083
"ENSG00000002919.15",2024517,1083
"ENSG00000002933.9",2884104,1083
"ENSG00000003056.8",4740253,1083
"ENSG00000003096.14",565648,1083
"ENSG00000003137.8",380439,1083
"ENSG00000003147.19",3431663,1083
"ENSG00000003249.15",2978193,1083
"ENSG00000003393.15",2114033,1083
"ENSG00000003400.15",748455,1083
"ENSG00000003402.20",5431680,1083
"ENSG00000003436.16",1336998,1083
"ENSG00000003509.16",794792,1083
"ENSG00000003756.17",4245291,1083
"ENSG00000003987.14",144219,1083
"ENSG00000003989.18",17465627,1083
"ENSG00000004059.11",6368207,1083
"ENSG00000004139.14",323261,1083
"ENSG00000004142.12",8632516,1083
"ENSG00000004399.13",11234979,1083
"ENSG00000004455.17",8730698,1083
"ENSG00000004468.13",431563,1083
"ENSG00000004478.8",20768645,1083
"ENSG00000004487.17",7268573,1083
