"sample_id","total_counts","detected_genes"
"TCGA-3C-AAAU-01A-11R-A41B-07",56707621,29762
"TCGA-3C-AALI-01A-11R-A41B-07",37587206,29750
"TCGA-3C-AALJ-01A-31R-A41B-07",22592426,27670
"TCGA-3C-AALK-01A-11R-A41B-07",52721240,30004
"TCGA-4H-AAAK-01A-12R-A41B-07",47408892,29291
"TCGA-5L-AAT0-01A-12R-A41B-07",34211589,28562
"TCGA-5L-AAT1-01A-12R-A41B-07",24258860,27698
"TCGA-5T-A9QA-01A-11R-A41B-07",33572674,26212
"TCGA-A1-A0SB-01A-11R-A144-07",47565779,29305
"TCGA-A1-A0SD-01A-11R-A115-07",60540270,30045
"TCGA-A1-A0SE-01A-11R-A084-07",61028423,29812
"TCGA-A1-A0SF-01A-11R-A144-07",48814601,29748
"TCGA-A1-A0SG-01A-11R-A144-07",56399310,29187
"TCGA-A1-A0SH-01A-11R-A084-07",68531781,28834
"TCGA-A1-A0SI-01A-11R-A144-07",73327515,30180
"TCGA-A1-A0SJ-01A-11R-A084-07",57649584,29069
"TCGA-A1-A0SK-01A-12R-A084-07",62509355,29473
"TCGA-A1-A0SN-01A-11R-A144-07",64894038,29319
"TCGA-A1-A0SO-01A-22R-A084-07",68306077,28375
"TCGA-A1-A0SP-01A-11R-A084-07",57786263,29527
"TCGA-A1-A0SQ-01A-21R-A144-07",54190090,28368
"TCGA-A2-A04N-01A-11R-A115-07",54421060,29916
"TCGA-A2-A04P-01A-31R-A034-07",54074498,29794
"TCGA-A2-A04Q-01A-21R-A034-07",60718277,29847
"TCGA-A2-A04R-01A-41R-A109-07",58607305,28263
"TCGA-A2-A04T-01A-21R-A034-07",63994121,29790
"TCGA-A2-A04U-01A-11R-A115-07",41124632,26906
"TCGA-A2-A04V-01A-21R-A034-07",59499041,29329
"TCGA-A2-A04W-01A-31R-A115-07",45451525,27649
"TCGA-A2-A04X-01A-21R-A034-07",64421668,29713
"TCGA-A2-A04Y-01A-21R-A034-07",79688753,31170
"TCGA-A2-A0CK-01A-11R-A22K-07",51561192,29564
"TCGA-A2-A0CL-01A-11R-A115-07",53425149,30293
"TCGA-A2-A0CM-01A-31R-A034-07",43415014,29417
"TCGA-A2-A0CO-01A-13R-A22K-07",50625796,30523
"TCGA-A2-A0CP-01A-11R-A034-07",35468082,28467
"TCGA-A2-A0CQ-01A-21R-A034-07",64030608,30251
"TCGA-A2-A0CR-01A-11R-A22K-07",53109618,29333
"TCGA-A2-A0CS-01A-11R-A115-07",45017092,26834
"TCGA-A2-A0CT-01A-31R-A056-07",47341296,27511
"TCGA-A2-A0CU-01A-12R-A034-07",59155324,29673
"TCGA-A2-A0CV-01A-31R-A115-07",71540554,29579
"TCGA-A2-A0CW-01A-21R-A115-07",66970554,29230
"TCGA-A2-A0CX-01A-21R-A00Z-07",56295369,28697
